,名字,地址,园区描述,园区画像,办公租房,工业地价,级别荣誉,产业集群,创新载体,区位交通,高新企业,上市企业,生物医药企业,典型企业,工业地价(万/亩起),住房租金(元/月),办公房租(元/平米/天),工业厂房(万元/平米),峰值天然气(元/立方米),峰值水费(元/立方米),峰值电费(元/千瓦时),公共食堂,周边快餐店,人才公寓配套,1公里范围内小区,1公里内酒店数量,5公里内四星级以上酒店数量,距离地铁站,园区附近500米内公交站,3公里内电影院,3公里内商业综合体,高校资源,人才资源,网址
0,四川南部经济开发区,四川省南充市南部县新安路143号附近,,"['医用耗材', '保健食品', '中药']",-元/m²/天,-万/亩起,[],"['机械', '建材', '食品', '医药']","['河西温州工业园', '河东科技工业园', '定水汽贸物流园', '铁佛塘循环经济产业园']","['距离南充站：79KM 驾车需要74分钟', '距离南充北站：74KM 驾车需要71分钟', '距离南充东站：87KM 驾车需要74分钟', '距离南充南站：115KM 驾车需要107分钟', '距离南充高坪机场：102KM 驾车需要84分钟', '距离南充阆中机场：81KM 驾车需要65分钟']",-,-,7,"['四川省储备物联网科技有限公司', '四川昌平药业有限公司', '四川万鸣药业有限公司', '四川省南部县药业有限责任公司', '四川卫亚医疗卫生用品有限公司', '四川柯洁医疗器械有限公司', '南充市贝尔康大药房连锁有限公司']",-,225-525,-,-,-,-,-,-,-,无,-,-,-,-,-,-,-,[],[],https://www.yaoxuanzhi.com/parkdetail/1c5445d445ef00d86ac5b32b06750c5e
1,瑞金经济技术开发区,江西省赣州市瑞金市红井路与创业大道东北,,"['医学研究', '生物技术研究', '生物农业', '治疗设备', '保健食品', '健康管理服务', '进口代理', '中药种植、养殖', '医用耗材', '手术器械']",-元/m²/天,-万/亩起,[],"['新增中药', '生物医药', '食品制造', '建材冶金']",[],"['距离赣州站：125KM 驾车需要106分钟', '距离赣州西站：140KM 驾车需要110分钟', '距离瑞金站：8KM 驾车需要15分钟', '距离兴国站：166KM 驾车需要135分钟', '距离于都站：81KM 驾车需要88分钟', '距离龙南站：210KM 驾车需要184分钟', '距离赣州黄金机场：143KM 驾车需要117分钟']",1,-,79,"['江西美润环保制品有限公司', '江西中藻生物科技股份有限公司', '江西鑫菲洋高分子材料科技有限公司', '智龙直线(瑞金)科技有限公司', '香龙生物科技有限公司', '瑞金市瀚祥精密机械有限公司', '江西清阳医院投资管理有限公司', '瑞金双胞胎饲料有限公司', '江西凯瑞医药有限公司', '江西泰民药业有限公司', '江西天贝药业有限公司', '江西鸿本生物科技有限公司', '江西皇世生物科技有限公司', '瑞金市益生康医疗器械有限公司', '华南(瑞金)医药科技有限公司']",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],[],https://www.yaoxuanzhi.com/parkdetail/a95980510229e0b1fe7682a1e6f81c57
2,宜春丰城高新技术产业开发区,江西宜春丰城高新大道18号,,"['生物农业', '药用辅料', '健康管理服务', '手术室及医患用品', '中药', '保健食品', '医药包材']",-元/m²/天,-万/亩起,[],"['装备制造', '医药', '新材料']","['机械电子产业区', '生物食品产业区']","['距离宜春站：169KM 驾车需要132分钟', '距离宜春西站：176KM 驾车需要144分钟', '距离宜春明月山机场：179KM 驾车需要135分钟']",3,1,28,"['江西成必信生物科技有限公司', '江西春光新材料科技股份有限公司', '江西旭虹药业有限公司', '江西江农生物营养技术有限公司', '江西恒顶食品有限公司', '江西科邦医用乳胶器材有限公司', '江西领航生物科技有限公司', '江西德祥医药有限公司', '江西省丰成医药有限公司', '江西德惠中药饮片有限公司', '江西康伯乐药业有限公司', '江西苏天医药有限公司', '江西诺捷医药有限公司', '宜春鹭燕医药有限公司', '江西明安医药有限公司']",-,544-844,-,-,-,-,-,-,-,无,-,-,-,-,-,-,-,[],[],https://www.yaoxuanzhi.com/parkdetail/5f53a18e026189e524f5c4d3fa8219c4
3,岳阳高新技术产业园区,湖南省岳阳市岳阳县省道s310城南大道和工业大道交叉路口西北侧,,"['生物技术研究', '医学研究', '生物环保', '生物农业', '医用耗材']",-元/m²/天,-万/亩起,['岳阳市加速推进新型工业化先进园区'],"['生物医药', '机械', '新材料']",[],"['距离岳阳站：42KM 驾车需要60分钟', '距离岳阳东站：35KM 驾车需要35分钟', '距离岳阳三荷机场：35KM 驾车需要41分钟']",-,-,8,"['湖南健强药业股份有限公司', '岳阳渔美康生物科技有限公司', '湖南康茂医药科技有限公司', '湖南润寿缘生物技术有限公司', '岳阳翊宁生物科技有限公司', '湖南康畅生物科技有限公司', '岳阳可淞贸易有限公司', '岳阳君健医疗器械有限公司']",-,527-827,-,-,-,-,-,-,-,有,-,-,-,-,-,-,-,[],[],https://www.yaoxuanzhi.com/parkdetail/3b193040d9dd221849f4e0275d732eda
4,河北晋州经济开发区,石家庄市晋州市和平街75号,,"['生物农业', '生物技术研究', '化药', '健康管理服务', '医学研究', '检验设备、试剂']",-元/m²/天,-万/亩起,[],"['化工', '纺织', '装备制造', '生物医药', '精细化工']",[],"['距离石家庄站：59KM 驾车需要70分钟', '距离石家庄东站：42KM 驾车需要50分钟', '距离石家庄北站：60KM 驾车需要71分钟', '距离正定机场站：60KM 驾车需要59分钟', '距离藁城南站：24KM 驾车需要50分钟', '距离石家庄正定国际机场：62KM 驾车需要67分钟', '距离栾城机场：55KM 驾车需要66分钟']",-,-,38,"['河北康邦药业股份有限公司', '河北万加医疗科技有限公司', '河北广富祥药业有限公司', '河北双润医疗科技有限公司', '河北优尼特生物科技有限公司', '河北冠润药业股份有限公司', '晋州市尚武生物科技有限公司', '河北方园隆盛制药有限公司', '中种联河北生物科技有限公司', '石家庄飞志生物科技有限公司', '石家庄沐然生物科技有限公司', '河北全农生物科技有限公司', '石家庄冀庭生物科技有限公司', '河北赛高生物科技有限公司', '石家庄孟星生物科技有限公司']",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],[],https://www.yaoxuanzhi.com/parkdetail/13f24528043704d0d79dc4404bc915f7
5,未名生物医药产业园,安徽省厦门市厦门火炬高新区北大生物园金尚路80号,,"['健康管理服务', '医疗机构', '生物技术研究', '生物农业', '疾病精准诊断']",-元/m²/天,-万/亩起,[],"['生物制药', '研发和生产细胞因子药物', '多肽药物', '抗体药物等多种生物药物']",[],"['距离合肥站：1018KM 驾车需要736分钟', '距离合肥南站：1010KM 驾车需要729分钟', '距离合肥北城站：1055KM 驾车需要761分钟', '距离合肥新桥国际机场：1044KM 驾车需要770分钟']",1,-,14,"['天佳吉瑞基因科技有限公司', '安徽微分基因科技有限公司', '北大未名(合肥)生物制药有限公司', '安徽华明太合生物工程有限公司', '安徽康豪健康管理咨询有限公司', '安徽云巢微分健康咨询合伙企业(有限合伙)', '安徽华聚创新科技有限公司', '安徽智慈生物科技有限公司', '安徽未名天合健康体检综合门诊部有限公司', '合肥康必健医学检验有限公司', '安徽博睿未名医疗器械有限公司', '安徽基特奥生物技术合伙企业(有限合伙)', '合肥优锐生物医药科技有限公司', '合肥北大未名生物制药技术有限公司']",-,759-1059,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],[],https://www.yaoxuanzhi.com/parkdetail/b30a7305c589d23874c74bb65854151f
6,江油高新技术产业园区,四川江油工业园区,,"['医学研究', '生物技术研究', '中药', '生物农业', '医用耗材', '中药种植、养殖', '医疗信息服务', '化药', '保健食品']",-元/m²/天,-万/亩起,[],"['高端装备制造', '生物医药', '新材料']",[],"['距离绵阳站：52KM 驾车需要62分钟', '距离江油站：2KM 驾车需要6分钟', '距离青莲站：17KM 驾车需要28分钟', '距离绵阳南郊机场：56KM 驾车需要71分钟']",1,-,28,"['四川江油中坝附子科技发展有限公司', '四川惠星联畅建筑工程有限公司', '四川铁投广润能源有限责任公司', '江油云享智慧医疗管理有限公司', '四川兴盛源药业有限公司', '四川云亳堂药业有限公司', '江油永现生物科技有限公司', '四川省太合药业股份有限公司', '绵阳三聚绿源生物质新材料有限公司', '江油力嘉制药有限公司', '四川康恒科技有限公司', '江油万顺中药科技有限公司', '四川江油天蟾药业有限公司', '四川六老海药业有限公司', '四川颜有方生物科技有限公司']",-,483-783,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],[],https://www.yaoxuanzhi.com/parkdetail/0f21548bed70f2b7d30bd76c28599cf9
7,保定高新技术产业开发区,河北省保定市高新区创业路188号,,"['生物技术研究', '医学研究', '健康管理服务', '生物农业', '手术室及医患用品']",-元/m²/天,-万/亩起,[],"['新能源和智能电网设备制造', '新材料', '电子信息']",[],"['距离保定站：60KM 驾车需要91分钟', '距离保定东站：81KM 驾车需要74分钟', '距离保定南站：55KM 驾车需要87分钟', '距离徐水站：53KM 驾车需要55分钟', '距离白洋淀站：1226KM 驾车需要888分钟', '距离白沟站：75KM 驾车需要108分钟', '距离高碑店东站：62KM 驾车需要71分钟', '距离保定江城机场：58KM 驾车需要87分钟']",-,-,49,"['河北科恒生物科技有限公司', '河北东医生物科技有限公司', '保定市哈源商贸有限公司', '河北竣壬商贸有限公司', '保定彬海养老服务有限公司', '保定孚泰药业有限公司', '保定凯资漫生物科技有限公司', '保定旭景科技有限公司', '河北东飞纳米生物科技有限公司', '保定铭铭生物科技有限公司', '河北东脉医药科技有限公司', '河北乐活乐家商贸有限公司', '保定市众妙商贸有限公司', '保定泰真健康管理咨询有限公司', '保定市冀鹏经贸有限公司']",-,452-752,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],[],https://www.yaoxuanzhi.com/parkdetail/080959551018ff154a27130cf91866bb
8,东软健康医疗国际产业园,辽宁省沈阳市浑南区创新路177号,,"['医用软件', '影像设备', '医用诊察和监护器械', '手术器械', '检验设备、试剂', '医用耗材', '治疗设备', '患者承载器械']",-元/m²/天,-万/亩起,[],"['健康制造', '大数据', '医疗智能', '医疗设备和健康管理服务']",[],"['距离沈阳站：21KM 驾车需要52分钟', '距离沈阳北站：25KM 驾车需要56分钟', '距离沈阳南站：4KM 驾车需要10分钟', '距离苏家屯站：9KM 驾车需要27分钟', '距离沈阳桃仙国际机场：11KM 驾车需要23分钟']",1,-,4,"['东软医疗系统股份有限公司', '沈阳东软智睿放疗技术有限公司', '东软医疗科技有限公司', '沈阳东软承业医疗服务有限公司']",-,582-882,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],[],https://www.yaoxuanzhi.com/parkdetail/0e9f73a880e4b6745a45550de8c76f84
9,山东荣成经济开发区,山东省荣成市荷田东路158号,,"['生物技术研究', '金融服务', '健康管理服务', '生物农业']",-元/m²/天,-万/亩起,[],"['装备制造', '食品', '生物科技']",[],"['距离威海站：53KM 驾车需要59分钟', '距离威海北站：68KM 驾车需要84分钟', '距离文登东站：26KM 驾车需要28分钟', '距离荣成站：3KM 驾车需要7分钟', '距离威海国际机场：23KM 驾车需要28分钟']",-,-,4,"['中宇民天核石墨能源科技有限公司', '山东李冠成药业投资有限公司', '威海市贝利生物科技开发有限公司', '荣成市海洋绿洲生物科技有限公司']",-,371-671,-,-,-,-,-,-,-,无,-,-,-,-,-,-,-,[],[],https://www.yaoxuanzhi.com/parkdetail/b0be53de47321e75a912cecd47a7da86
