,company_name,address,park_url
0,天和高科技产业园,浙江省杭州市滨江区长河街道滨安路688号,https://www.yaoxuanzhi.com/parkdetail/e2a8cda1758f6bc180cdbb475c4609b5
1,广东医谷（南沙）产业孵化器,广州市南沙区南江二路6号,https://www.yaoxuanzhi.com/parkdetail/6e27fc7e69a087706d1dbb1c155c87d7
2,上海交科松江科创园,上海市松江区泗砖路351号,https://www.yaoxuanzhi.com/parkdetail/c7204d438ee2525a811b7a3d3f4647c0
3,杭州星运医疗健康产业园,浙江省杭州市余杭区通运路364号,https://www.yaoxuanzhi.com/parkdetail/c65f21d71c03a26c247a5a4a01a94bc0
4,安徽肥西经济开发区,安徽省合肥市锦绣大道316号,https://www.yaoxuanzhi.com/parkdetail/20d73c88b7e8270ac4593cccd4a1cf78
5,杭州医药港,浙江省杭州市钱塘新区福城路291号,https://www.yaoxuanzhi.com/parkdetail/9788f27b057a5a2f0da89ec296f21542
6,外高桥复旦科技园创新中心,上海市浦东新区加枫路8号,https://www.yaoxuanzhi.com/parkdetail/58401966fcafb8409e16c83954e05aa7
7,杭州综合保税区,浙江省杭州市钱塘新区12号大街,https://www.yaoxuanzhi.com/parkdetail/56095acee5c2120c3e6e122fb75daf77
8,辽宁新民经济开发区,辽宁省沈阳市新民市世纪大街与东营北三路交叉口东100米,https://www.yaoxuanzhi.com/parkdetail/1cbe53ec4229028718b75c5cc1989ea3
9,上海自贸壹号生命科技产业园,上海市外高桥保税区巴圣路160号,https://www.yaoxuanzhi.com/parkdetail/e6b604c6f74842c2c496e043c50d19dd
10,成都医学城管委会,成都市温江区锦绣大道南段43号SBI创业街C栋,https://www.yaoxuanzhi.com/parkdetail/a3b50182db349cb063a4bee92bd16f2d
11,杭州时代高科技产业园（湘湖生科创新中心）,浙江省杭州市萧山区闻堰街道天马路1688号,https://www.yaoxuanzhi.com/parkdetail/0c78371e2d08c27c780aa03144084271
12,山东商河经济开发区,山东商河经济开发区科源街77号,https://www.yaoxuanzhi.com/parkdetail/0e62b2330b182f12ade2450aec4a3a51
13,华润生命科学园,北京市大兴区中关村科技园区大兴生物医药产业基地宝参南街16号院3号楼,https://www.yaoxuanzhi.com/parkdetail/01429e509d819b377c26ee694571b1301
14,临港新片区生命蓝湾生物医药特色产业园,上海市奉贤区正博路,https://www.yaoxuanzhi.com/parkdetail/c70ffa13e30569e75bfdd593c2636909
15,H2创新中心,浙江省杭州市滨江区长河街道滨兴路301号,https://www.yaoxuanzhi.com/parkdetail/45295421cd723f96c20c26e7544c1c7c
16,张家港保税区,江苏省苏州市张家港市长江路与金港路交汇处,https://www.yaoxuanzhi.com/parkdetail/79f824d13a9112cfcb30f55c38d544dc
17,徐州淮海生物医药产业园,江苏省徐州市铜山区珠江东路与富民路交叉路口,https://www.yaoxuanzhi.com/parkdetail/4e719447cdf579a3151557328d002351
18,重庆国际生物城,重庆市巴南区木洞镇科技孵化楼,https://www.yaoxuanzhi.com/parkdetail/30de5d50074ed73345f36e7200e77506
